SO_x,CSW%,wRAA,Barrels,RBI_x,IFFB,competitive_runs,Age,HR,R_y,RBI_y,SB,BB,SO_y,OBP,SLG,OPS,wOBA,WAR,BABIP,LD%,GB%,Contact%,SwStr%,next_year_hits
91,0.27,67.2,57,80,18,237,25,32,129,80,30,81,91,0.438,0.64,1.078,0.449,10.4,0.368,0.212,0.3389999999999999,0.8590000000000001,0.05,176
91,0.27,67.2,57,80,18,237,23,31,122,113,26,49,80,0.363,0.534,0.897,0.379,8.1,0.322,0.193,0.414,0.873,0.052,166
91,0.27,67.2,57,80,18,237,26,29,135,80,16,97,101,0.391,0.524,0.915,0.38,6.4,0.309,0.248,0.315,0.866,0.051,64
91,0.27,67.2,57,80,18,237,24,24,101,102,26,77,79,0.344,0.459,0.803,0.339,5.3,0.268,0.168,0.4039999999999999,0.858,0.051,180
91,0.27,67.2,57,80,18,237,22,18,92,77,21,46,82,0.341,0.479,0.82,0.351,4.8,0.31,0.195,0.382,0.866,0.054,214
91,0.27,67.2,57,80,18,237,28,23,93,58,10,68,86,0.367,0.487,0.854,0.365,3.9,0.276,0.216,0.351,0.8490000000000001,0.061,154
91,0.27,67.2,57,80,18,237,27,16,47,39,10,24,38,0.366,0.562,0.927,0.39,2.8,0.289,0.214,0.324,0.878,0.05,123
91,0.27,67.2,57,80,18,237,21,5,34,18,7,21,31,0.368,0.444,0.812,0.361,1.8,0.327,0.209,0.405,0.883,0.042,174
80,0.275,36.9,28,113,29,344,25,32,129,80,30,81,91,0.438,0.64,1.078,0.449,10.4,0.368,0.212,0.3389999999999999,0.8590000000000001,0.05,176
80,0.275,36.9,28,113,29,344,23,31,122,113,26,49,80,0.363,0.534,0.897,0.379,8.1,0.322,0.193,0.414,0.873,0.052,166
80,0.275,36.9,28,113,29,344,26,29,135,80,16,97,101,0.391,0.524,0.915,0.38,6.4,0.309,0.248,0.315,0.866,0.051,64
80,0.275,36.9,28,113,29,344,24,24,101,102,26,77,79,0.344,0.459,0.803,0.339,5.3,0.268,0.168,0.4039999999999999,0.858,0.051,180
80,0.275,36.9,28,113,29,344,22,18,92,77,21,46,82,0.341,0.479,0.82,0.351,4.8,0.31,0.195,0.382,0.866,0.054,214
80,0.275,36.9,28,113,29,344,28,23,93,58,10,68,86,0.367,0.487,0.854,0.365,3.9,0.276,0.216,0.351,0.8490000000000001,0.061,154
80,0.275,36.9,28,113,29,344,27,16,47,39,10,24,38,0.366,0.562,0.927,0.39,2.8,0.289,0.214,0.324,0.878,0.05,123
80,0.275,36.9,28,113,29,344,21,5,34,18,7,21,31,0.368,0.444,0.812,0.361,1.8,0.327,0.209,0.405,0.883,0.042,174
101,0.257,36.9,47,80,22,215,25,32,129,80,30,81,91,0.438,0.64,1.078,0.449,10.4,0.368,0.212,0.3389999999999999,0.8590000000000001,0.05,176
101,0.257,36.9,47,80,22,215,23,31,122,113,26,49,80,0.363,0.534,0.897,0.379,8.1,0.322,0.193,0.414,0.873,0.052,166
101,0.257,36.9,47,80,22,215,26,29,135,80,16,97,101,0.391,0.524,0.915,0.38,6.4,0.309,0.248,0.315,0.866,0.051,64
101,0.257,36.9,47,80,22,215,24,24,101,102,26,77,79,0.344,0.459,0.803,0.339,5.3,0.268,0.168,0.4039999999999999,0.858,0.051,180
101,0.257,36.9,47,80,22,215,22,18,92,77,21,46,82,0.341,0.479,0.82,0.351,4.8,0.31,0.195,0.382,0.866,0.054,214
101,0.257,36.9,47,80,22,215,28,23,93,58,10,68,86,0.367,0.487,0.854,0.365,3.9,0.276,0.216,0.351,0.8490000000000001,0.061,154
101,0.257,36.9,47,80,22,215,27,16,47,39,10,24,38,0.366,0.562,0.927,0.39,2.8,0.289,0.214,0.324,0.878,0.05,123
101,0.257,36.9,47,80,22,215,21,5,34,18,7,21,31,0.368,0.444,0.812,0.361,1.8,0.327,0.209,0.405,0.883,0.042,174
79,0.287,10.8,23,102,35,315,25,32,129,80,30,81,91,0.438,0.64,1.078,0.449,10.4,0.368,0.212,0.3389999999999999,0.8590000000000001,0.05,176
79,0.287,10.8,23,102,35,315,23,31,122,113,26,49,80,0.363,0.534,0.897,0.379,8.1,0.322,0.193,0.414,0.873,0.052,166
79,0.287,10.8,23,102,35,315,26,29,135,80,16,97,101,0.391,0.524,0.915,0.38,6.4,0.309,0.248,0.315,0.866,0.051,64
79,0.287,10.8,23,102,35,315,24,24,101,102,26,77,79,0.344,0.459,0.803,0.339,5.3,0.268,0.168,0.4039999999999999,0.858,0.051,180
79,0.287,10.8,23,102,35,315,22,18,92,77,21,46,82,0.341,0.479,0.82,0.351,4.8,0.31,0.195,0.382,0.866,0.054,214
79,0.287,10.8,23,102,35,315,28,23,93,58,10,68,86,0.367,0.487,0.854,0.365,3.9,0.276,0.216,0.351,0.8490000000000001,0.061,154
79,0.287,10.8,23,102,35,315,27,16,47,39,10,24,38,0.366,0.562,0.927,0.39,2.8,0.289,0.214,0.324,0.878,0.05,123
79,0.287,10.8,23,102,35,315,21,5,34,18,7,21,31,0.368,0.444,0.812,0.361,1.8,0.327,0.209,0.405,0.883,0.042,174
82,0.295,20,25,77,23,246,25,32,129,80,30,81,91,0.438,0.64,1.078,0.449,10.4,0.368,0.212,0.3389999999999999,0.8590000000000001,0.05,176
82,0.295,20,25,77,23,246,23,31,122,113,26,49,80,0.363,0.534,0.897,0.379,8.1,0.322,0.193,0.414,0.873,0.052,166
82,0.295,20,25,77,23,246,26,29,135,80,16,97,101,0.391,0.524,0.915,0.38,6.4,0.309,0.248,0.315,0.866,0.051,64
82,0.295,20,25,77,23,246,24,24,101,102,26,77,79,0.344,0.459,0.803,0.339,5.3,0.268,0.168,0.4039999999999999,0.858,0.051,180
82,0.295,20,25,77,23,246,22,18,92,77,21,46,82,0.341,0.479,0.82,0.351,4.8,0.31,0.195,0.382,0.866,0.054,214
82,0.295,20,25,77,23,246,28,23,93,58,10,68,86,0.367,0.487,0.854,0.365,3.9,0.276,0.216,0.351,0.8490000000000001,0.061,154
82,0.295,20,25,77,23,246,27,16,47,39,10,24,38,0.366,0.562,0.927,0.39,2.8,0.289,0.214,0.324,0.878,0.05,123
82,0.295,20,25,77,23,246,21,5,34,18,7,21,31,0.368,0.444,0.812,0.361,1.8,0.327,0.209,0.405,0.883,0.042,174
124,0.261,65.4,54,79,15,185,26,39,101,79,24,122,124,0.46,0.628,1.088,0.447,9.5,0.346,0.2339999999999999,0.313,0.841,0.06,137
124,0.261,65.4,54,79,15,185,23,41,104,90,11,92,158,0.402,0.59,0.991,0.415,9.3,0.344,0.244,0.372,0.8,0.075,173
124,0.261,65.4,54,79,15,185,24,29,123,100,30,116,137,0.441,0.55,0.991,0.418,8.7,0.371,0.221,0.412,0.8140000000000001,0.071,123
124,0.261,65.4,54,79,15,185,27,45,110,104,11,110,120,0.438,0.645,1.083,0.436,8.4,0.298,0.266,0.243,0.823,0.065,56
124,0.261,65.4,54,79,15,185,22,36,115,111,16,83,184,0.377,0.561,0.939,0.402,8.3,0.349,0.1889999999999999,0.3389999999999999,0.8,0.076,172
