IDfg,SO,CSW%,LD,Events,wRAA,Barrels,RBI,IFFB,R,competitive_runs,next_year_hits
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,176.0
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,166.0
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,180.0
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,214.0
13611,91,0.27,92,434,67.2,57,80,18,129,237.0,174.0
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,176.0
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,166.0
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,180.0
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,214.0
13611,80,0.275,115,599,36.9,28,113,29,122,344.0,174.0
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,176.0
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,166.0
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,180.0
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,214.0
13611,101,0.257,125,505,36.9,47,80,22,135,215.0,174.0
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,176.0
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,166.0
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,180.0
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,214.0
13611,79,0.287,93,554,10.8,23,102,35,101,315.0,174.0
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,176.0
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,166.0
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,180.0
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,214.0
13611,82,0.295,101,524,20.0,25,77,23,92,246.0,174.0
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,137.0
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,173.0
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,123.0
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,172.0
10155,124,0.261,82,352,65.4,54,79,15,101,185.0,147.0
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,137.0
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,173.0
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,123.0
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,172.0
10155,158,0.282,103,422,55.4,68,90,4,104,236.0,147.0
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,137.0
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,173.0
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,123.0
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,172.0
10155,137,0.26,92,417,56.2,56,100,4,123,246.0,147.0
10155,120,0.258,94,354,60.4,62,104,17,110,157.0,137.0
10155,120,0.258,94,354,60.4,62,104,17,110,157.0,173.0
10155,120,0.258,94,354,60.4,62,104,17,110,157.0,123.0
10155,120,0.258,94,354,60.4,62,104,17,110,157.0,
